"","dpID","termID","tableID","termName","spatialRes","spatialDesc","timeRes","timeDesc","fullID"
"48","NEON.DOM.SIT.DP1.00003",42,3,"max",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00042.003"
"49","NEON.DOM.SIT.DP1.00003",43,3,"identifier",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00043.003"
"50","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",3,"Tower level 3",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.003.001.00044.003"
"51","NEON.DOM.SIT.DP1.00003",1,3,"uid",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00001.003"
"52","NEON.DOM.SIT.DP1.00003",2,3,"domainID",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00002.003"
"53","NEON.DOM.SIT.DP1.00003",3,3,"siteID",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00003.003"
"54","NEON.DOM.SIT.DP1.00003",5,3,"date",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00005.003"
"55","NEON.DOM.SIT.DP1.00003",39,3,"mean",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00039.003"
"56","NEON.DOM.SIT.DP1.00003",40,3,"variance",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00040.003"
"57","NEON.DOM.SIT.DP1.00003",41,3,"min",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00041.003"
"58","NEON.DOM.SIT.DP1.00003",42,3,"max",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00042.003"
"59","NEON.DOM.SIT.DP1.00003",43,3,"identifier",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00043.003"
"60","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",3,"Tower level 3",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.003.001.00044.003"
"61","NEON.DOM.SIT.DP1.00003",1,3,"uid",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00001.003"
"62","NEON.DOM.SIT.DP1.00003",2,3,"domainID",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00002.003"
"63","NEON.DOM.SIT.DP1.00003",3,3,"siteID",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00003.003"
"64","NEON.DOM.SIT.DP1.00003",5,3,"date",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00005.003"
"65","NEON.DOM.SIT.DP1.00003",39,3,"mean",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00039.003"
"66","NEON.DOM.SIT.DP1.00003",40,3,"variance",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00040.003"
"67","NEON.DOM.SIT.DP1.00003",41,3,"min",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00041.003"
"68","NEON.DOM.SIT.DP1.00003",42,3,"max",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00042.003"
"69","NEON.DOM.SIT.DP1.00003",43,3,"identifier",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00043.003"
"70","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",4,"Tower level 4",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.004.001.00044.003"
"71","NEON.DOM.SIT.DP1.00003",1,3,"uid",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00001.003"
"72","NEON.DOM.SIT.DP1.00003",2,3,"domainID",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00002.003"
"73","NEON.DOM.SIT.DP1.00003",3,3,"siteID",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00003.003"
"74","NEON.DOM.SIT.DP1.00003",5,3,"date",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00005.003"
"75","NEON.DOM.SIT.DP1.00003",39,3,"mean",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00039.003"
"76","NEON.DOM.SIT.DP1.00003",40,3,"variance",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00040.003"
"77","NEON.DOM.SIT.DP1.00003",41,3,"min",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00041.003"
"78","NEON.DOM.SIT.DP1.00003",42,3,"max",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00042.003"
"79","NEON.DOM.SIT.DP1.00003",43,3,"identifier",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00043.003"
"80","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",4,"Tower level 4",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.004.001.00044.003"
"81","NEON.DOM.SIT.DP1.00003",1,3,"uid",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00001.003"
"82","NEON.DOM.SIT.DP1.00003",2,3,"domainID",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00002.003"
"83","NEON.DOM.SIT.DP1.00003",3,3,"siteID",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00003.003"
"84","NEON.DOM.SIT.DP1.00003",5,3,"date",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00005.003"
"85","NEON.DOM.SIT.DP1.00003",39,3,"mean",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00039.003"
"86","NEON.DOM.SIT.DP1.00003",40,3,"variance",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00040.003"
"87","NEON.DOM.SIT.DP1.00003",41,3,"min",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00041.003"
"88","NEON.DOM.SIT.DP1.00003",42,3,"max",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00042.003"
"89","NEON.DOM.SIT.DP1.00003",43,3,"identifier",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00043.003"
"90","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",5,"Tower level 5",1,"1 Minute averages","NEON.DOM.SIT.DP1.00003.001.005.001.00044.003"
"91","NEON.DOM.SIT.DP1.00003",1,3,"uid",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00001.003"
"92","NEON.DOM.SIT.DP1.00003",2,3,"domainID",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00002.003"
"93","NEON.DOM.SIT.DP1.00003",3,3,"siteID",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00003.003"
"94","NEON.DOM.SIT.DP1.00003",5,3,"date",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00005.003"
"95","NEON.DOM.SIT.DP1.00003",39,3,"mean",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00039.003"
"96","NEON.DOM.SIT.DP1.00003",40,3,"variance",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00040.003"
"97","NEON.DOM.SIT.DP1.00003",41,3,"min",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00041.003"
"98","NEON.DOM.SIT.DP1.00003",42,3,"max",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00042.003"
"99","NEON.DOM.SIT.DP1.00003",43,3,"identifier",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00043.003"
"100","NEON.DOM.SIT.DP1.00003",44,3,"qualitySum",5,"Tower level 5",2,"30 Minute averages","NEON.DOM.SIT.DP1.00003.002.005.001.00044.003"
